"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
2999.99999999997,2795.84301757812

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,0.686794152677309
103.495249706417,0.658834188480611
107.112667117937,0.634133556242319
110.856522300912,0.622622233998586
114.731234571179,0.637428010272644
118.741377710697,0.649306312145393
122.891685366526,0.630731426784935
127.187056638511,0.643262919742314
131.632561862269,0.64199960062553
136.23344859431,0.618431221468436
140.995147806344,0.660592147526652
145.923280296108,0.647636708005889
151.023663322253,0.674621142014912
156.302317471144,0.676039947366559
161.765473763678,0.655108487154622
167.419581010487,0.655356822634482
173.271313424241,0.652658712312566
179.327578498007,0.671998212495674
185.595525158984,0.667691077621197
192.082552207227,0.64686198198521
198.796317049329,0.670406417688546
205.744744737364,0.669184478428513
212.936037323766,0.678217115799948
220.378683543182,0.658933198042604
228.081468832731,0.663304052577567
236.053485702499,0.68317140367011
244.304144468503,0.673053127821805
252.843184360804,0.661514827565687
261.680685019871,0.65430470883167
270.827078394779,0.657483302428029
280.293161057271,0.637391144261248
290.090106946233,0.669536245038042
300.229480557617,0.634028589685849
310.723250595385,0.63629856316031
321.58380409959,0.666427773738201
332.823961068267,0.667111732878513
344.456989590392,0.645786173766146
356.496621507784,0.676120409979297
368.957068624422,0.668290870671948
381.853039482323,0.651390388735644
395.199756723774,0.660524268342963
409.012975060424,0.668677994251695
423.308999870432,0.631989291705031
438.104706445641,0.623450252472301
453.417559911483,0.645816629682688
469.265635843133,0.637177034717165
485.667641602258,0.617701494471296
502.642938419524,0.636416265069002
520.21156424896,0.616335667319187
538.39425742112,0.618533534666864
557.212481123,0.595915052341558
576.688448733571,0.599790832855792
596.845150044874,0.542291768928313
617.706378399583,0.54477429900259
639.296758777116,0.510025368004897
661.641776861408,0.497099725154685
684.76780912469,0.456707264894509
708.702153962761,0.439830602813577
733.473063918517,0.421639842361836
759.109779031779,0.321592477487406
785.642561354772,0.306042763716375
813.102730674014,0.255968514646436
841.522701480769,0.201114284966948
870.93602123371,0.0934144127242885
901.377409958964,0.0351964931190199
932.882801234266,-0.0813703932032978
965.489384605624,-0.209363438307406
999.235649486542,-0.302323736370649
1034.16143059164,-0.454327701908084
1070.30795495827,-0.622635461898164
1107.71789061171,-0.80294526728766
1146.43539693125,-1.01016557078902
1186.50617677675,-1.22603021730054
1227.97753043717,-1.47885979050822
1270.89841146464,-1.77630608086447
1315.31948446022,-2.12243565748921
1361.29318487927,-2.49281029546935
1408.87378092724,-2.97825443358725
1458.11743761889,-3.43465885099568
1509.08228307648,-3.99561492255027
1561.8284771453,-4.65612592847159
1616.41828240747,-5.39776747157523
1672.91613767779,-6.23711599245569
1731.38873406858,-7.23579838780602
1791.90509371305,-8.4009532936147
1854.53665124034,-9.73153716555079
1919.35733809821,-11.3698456414218
1986.44366982319,-13.3134577588098
2055.87483636083,-15.7626664170992
2127.73279554304,-18.8990056215865
2202.1023698326,-23.3049620901629
2279.07134644918,-29.8040097420689
2358.73058099499,-26.0540555073783
2441.17410470239,-24.4068326887396
2526.49923543014,-21.6658871658946
2614.80669253914,-20.2722646004589
2706.2007157835,-19.8617034230297
2800.78918835698,-20.1141983259773
2898.6837642404,-21.1355893688596
2999.99999999997,-22.9801579188874

